id,name_en,name_zh,team,league,year,g,pa,ab,h,2b,3b,hr,r,rbi,bb,ibb,hbp,so,avg,slg,obp,ops,sb,cs,sh,sf
c87e0325-5401-4bd0-9340-48b259e8964a,"Hyeon-tae Jeon",NULL,韓華鷹,KBO,2012,2,6,4,0,0,0,0,1,0,1,0,0,1,0.000,0.000,0.200,0.200,1,0,1,0
d0210ca6-ec34-4f37-9be1-e1983e9561a8,"Sung-Woo Yang",NULL,韓華鷹,KBO,2012,45,103,87,17,3,0,0,12,3,15,0,1,27,0.195,0.230,0.320,0.550,6,1,0,0
d78e6386-3805-4eaf-ab79-9b8bf1f13a70,"Joon-Soo Lee",NULL,韓華鷹,KBO,2012,37,43,39,6,1,0,0,1,2,4,0,0,16,0.154,0.180,0.233,0.412,0,0,0,0
df4766cc-6204-4762-9721-566beb67611c,"Jae-pil Oh",NULL,韓華鷹,KBO,2012,46,83,70,15,1,0,1,10,5,9,0,1,26,0.214,0.271,0.313,0.584,6,1,3,0
e030cc40-536d-4eb1-ba83-8d6558a93723,"Sun-Jin Oh",NULL,韓華鷹,KBO,2012,110,446,399,105,18,3,3,33,41,25,0,7,65,0.263,0.346,0.316,0.662,14,9,13,2
e3923371-d49a-4350-86fa-479c24bca6bd,"Denny Bautista",NULL,韓華鷹,KBO,2012,44,1,1,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0
f582ffe5-1ee3-486b-a5f2-8ec4fca48946,"Won-seok Chung",NULL,韓華鷹,KBO,2012,7,5,2,0,0,0,0,1,0,3,0,0,2,0.000,0.000,0.600,0.600,0,0,0,0
fdaf49e7-b6aa-4b78-9ad1-813e0ca133ea,"Gyeong-heum Yeon",NULL,韓華鷹,KBO,2012,42,71,62,11,2,0,1,3,5,9,1,0,16,0.177,0.258,0.282,0.540,0,0,0,0
fed74ac2-03f9-48e4-b512-372137bee84f,"Sung-Ho Jang",NULL,韓華鷹,KBO,2012,130,501,429,113,28,0,9,57,52,67,1,2,63,0.263,0.392,0.364,0.756,2,3,1,2
12acf5ee-8978-4de5-9ddf-7e7c3ff200ed,"Dae-Woo Kim",NULL,樂天巨人,KBO,2012,6,7,7,0,0,0,0,1,0,0,0,0,4,0.000,0.000,0.000,0.000,0,0,0,0
1f2a89d5-c97e-4b46-be34-20181d56dbf7,"Bo-Myung Jung",NULL,樂天巨人,KBO,2012,18,34,31,5,0,0,0,2,2,3,0,0,9,0.161,0.161,0.235,0.397,0,0,0,0
281c89da-79c1-4ff1-b220-c944bf7cb6a2,"Moon-Ho Kim",NULL,樂天巨人,KBO,2012,56,95,79,16,3,0,0,10,2,11,1,3,22,0.203,0.241,0.323,0.563,1,3,2,0
29790444-3c7e-4f0a-9bf9-b6373f677548,"Sa-Hoon Kim",NULL,樂天巨人,KBO,2012,17,15,15,4,1,0,0,0,2,0,0,0,7,0.267,0.333,0.267,0.600,0,0,0,0
2a124bec-2af0-4130-87f4-eb95c986b422,"Dong-Chae Hwang",NULL,樂天巨人,KBO,2012,73,66,58,10,0,0,0,11,6,5,0,1,17,0.172,0.172,0.250,0.422,1,0,2,0
309bdba4-7165-4323-a8c0-2e07f01af25a,"Bon-Ki Shin",NULL,樂天巨人,KBO,2012,50,67,57,6,0,0,0,9,3,9,0,1,17,0.105,0.105,0.239,0.344,1,1,0,0
49cb0121-9e3f-4953-a792-768891b6354d,"Joo-Chan Kim",NULL,樂天巨人,KBO,2012,118,488,435,128,27,3,5,62,39,30,1,7,48,0.294,0.405,0.346,0.751,32,13,11,5
5119b1db-1e58-4c56-9229-542e2d85b525,"Sung-Hwan Cho",NULL,樂天巨人,KBO,2012,103,390,345,96,14,0,3,40,33,28,0,1,58,0.278,0.345,0.332,0.677,5,2,14,2
53b912e3-6c5e-4ff3-ac93-92e84176ca29,"Kyu-Hyun Moon",NULL,樂天巨人,KBO,2012,105,277,244,50,10,0,0,17,17,13,0,4,50,0.205,0.246,0.255,0.501,0,2,14,2
72c4bad1-3678-4646-861b-9e84d74c3487,"Hoon Jung",NULL,樂天巨人,KBO,2012,78,137,125,25,4,1,2,12,12,3,0,0,42,0.200,0.296,0.217,0.513,1,0,8,1
760360e9-c6be-4d08-8bb3-96c39db54744,"Sang-Ho Kim",NULL,樂天巨人,KBO,2012,8,15,12,2,0,0,0,1,0,3,0,0,5,0.167,0.167,0.333,0.500,0,0,0,0
8e78fe5a-c5cc-46bd-b64f-eb165199c8a3,"Yong-sun Byeon",NULL,樂天巨人,KBO,2012,7,5,5,0,0,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,0,0,0,0
8f27f881-48f0-4a44-805f-5c0b02d7b64b,"Jong-Min Yang",NULL,樂天巨人,KBO,2012,2,4,4,1,0,0,0,0,1,0,0,0,1,0.250,0.250,0.250,0.500,1,0,0,0
92ca5d01-1203-4d50-a40b-107aa23c0e24,"Min-ho Kang",NULL,樂天巨人,KBO,2012,119,454,400,109,21,0,19,41,66,44,2,8,97,0.273,0.468,0.355,0.822,0,1,0,2
97c4efa5-9112-4e64-9acd-37023cc01a72,"Seung-Hwa Lee",NULL,樂天巨人,KBO,2012,65,101,84,18,2,0,1,12,5,12,0,0,21,0.214,0.274,0.313,0.586,1,2,5,0
9a5fe402-ee51-4c11-b8df-d84414d17693,"Jae-gyun Hwang",黃載均,樂天巨人,KBO,2012,28,20,18,2,1,0,0,2,0,1,0,0,9,0.111,0.167,0.158,0.325,2,0,1,0
a0db5a1b-43af-4708-8826-4216f5ad6eea,"Sung-Heon Hong",NULL,樂天巨人,KBO,2012,113,443,390,114,20,0,15,48,74,47,3,2,83,0.292,0.459,0.369,0.828,4,5,1,3
a125c4fe-1b06-458b-bdde-00d2ea82fe3d,"Jae-gyun Hwang",黃載均,樂天巨人,KBO,2012,133,504,448,122,19,1,4,42,51,38,3,5,81,0.272,0.346,0.335,0.681,26,8,11,2
b875373a-08f3-41c4-aaec-af114e3503a4,"Ah-seop Son",NULL,樂天巨人,KBO,2012,132,556,503,158,26,0,5,61,58,41,4,6,79,0.314,0.396,0.370,0.766,10,5,2,4
c232b933-fe79-4a87-b1db-1e45a8f92a29,"Joon-Seo Park",NULL,樂天巨人,KBO,2012,87,207,182,50,9,3,2,21,12,11,0,1,33,0.275,0.390,0.318,0.708,5,1,12,1
d2e2d47f-e859-4158-b43f-c0c79774f887,"Jun-woo Jeon",NULL,樂天巨人,KBO,2012,122,520,459,116,22,4,7,63,38,45,0,7,103,0.253,0.364,0.327,0.691,21,8,6,3
d38bb72d-1dfd-45a6-a94b-117eaa145c6d,"Yeong-Joon Kwon",NULL,樂天巨人,KBO,2012,11,14,13,3,0,0,0,2,0,0,0,1,6,0.231,0.231,0.286,0.517,0,0,0,0
d7f98873-f52f-4972-becf-cfcbaab9e5a5,"Jong-Yoon Park",NULL,樂天巨人,KBO,2012,121,459,416,107,19,4,9,41,47,22,5,5,64,0.257,0.387,0.302,0.689,5,2,15,1
ddf5e413-dbf9-4194-9f60-46530ddbdd9e,"In-gu Lee",NULL,樂天巨人,KBO,2012,7,12,12,2,0,0,0,1,0,0,0,0,4,0.167,0.167,0.167,0.333,0,0,0,0
e53b4ad6-98bc-4657-a622-8c79699c73dc,"Soo-Kang Yoon",NULL,樂天巨人,KBO,2012,15,6,6,1,1,0,0,0,0,0,0,0,5,0.167,0.333,0.167,0.500,0,0,0,0
ec332b24-ba2d-427c-a831-1e891e728257,"Yong-seok Son",NULL,樂天巨人,KBO,2012,43,70,64,17,2,0,0,3,5,5,0,1,13,0.266,0.297,0.329,0.626,0,0,0,0
fd0c93c6-92fe-4e02-bc80-0b3a5f07345c,"Deuk-Han Yong",NULL,樂天巨人,KBO,2012,55,80,72,17,1,0,1,9,6,4,0,1,10,0.236,0.292,0.286,0.577,3,0,3,0
054c375c-ec23-4477-ade9-348c683a89f6,"Sho Nakata",NULL,"北海道日本火腿鬥士 ",PL,2012,144,606,547,131,25,1,24,79,77,50,1,5,101,0.240,0.421,0.307,0.727,5,4,0,4
0ba80463-0afb-4faf-bab8-e22921fd72d7,"Mitsuo Yoshikawa",NULL,"北海道日本火腿鬥士 ",PL,2012,25,4,4,0,0,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,0,0,0,0
19202d55-17cf-4f60-8feb-e0ec23346fbc,"Yoshio Itoi",NULL,"北海道日本火腿鬥士 ",PL,2012,134,597,510,155,21,3,9,72,48,75,2,11,86,0.304,0.410,0.404,0.814,22,9,0,1
1d6cfe74-d99e-4438-a32a-0c46cab4ac09,"Yuki Saitoh",NULL,"北海道日本火腿鬥士 ",PL,2012,19,3,2,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0,0,1,0
1ec7de8b-99a7-4806-870f-84a4e5659a0e,"Eiichi Koyano",NULL,"北海道日本火腿鬥士 ",PL,2012,134,550,478,109,20,1,3,31,39,27,0,4,72,0.228,0.293,0.275,0.567,6,2,40,1
2062399f-3daf-484e-ac6f-c5e3cbeb7887,"Takuya Nakashima",NULL,"北海道日本火腿鬥士 ",PL,2012,105,82,70,8,0,0,0,9,0,1,0,0,17,0.114,0.114,0.127,0.241,2,0,11,0
23bc853e-27ad-4596-b20b-4e5e09fc8e42,"Terrmel Sledge",NULL,"北海道日本火腿鬥士 ",PL,2012,58,133,115,27,3,1,2,11,12,7,0,1,18,0.235,0.330,0.280,0.610,4,2,8,2
24d1e7bc-5dc6-4db3-9af0-dc7d398702b2,"Atsushi Ugumori",NULL,"北海道日本火腿鬥士 ",PL,2012,20,37,32,7,0,0,4,4,6,4,0,0,9,0.219,0.594,0.306,0.899,0,0,1,0
29face44-90c7-46f2-a789-d095fa93256e,"Yuya Taniguchi",NULL,"北海道日本火腿鬥士 ",PL,2012,4,6,5,2,1,0,0,0,1,0,0,0,2,0.400,0.600,0.400,1.000,0,0,1,0
348c95c7-2e9d-4db3-b6ac-2c69a1ec3fd8,"Kazuya Murata",NULL,"北海道日本火腿鬥士 ",PL,2012,15,10,9,1,0,0,0,3,0,1,0,0,3,0.111,0.111,0.200,0.311,0,1,0,0
38d39525-7b1b-4fb7-a3ae-4066d102daa0,"Terrmel Sledge",NULL,"北海道日本火腿鬥士 ",PL,2012,47,152,138,32,7,1,5,12,23,12,0,2,47,0.232,0.406,0.303,0.708,0,0,0,0
3924b6ec-e07e-4137-9957-013c21aa0057,"Atsunori Inaba",NULL,"北海道日本火腿鬥士 ",PL,2012,127,497,449,130,23,3,10,46,61,32,3,5,70,0.290,0.421,0.342,0.762,0,0,8,3
450cfefd-18de-4142-b84c-806236dca05a,"Manabu Iwadate",NULL,"北海道日本火腿鬥士 ",PL,2012,24,33,31,4,0,0,2,3,3,0,0,1,4,0.129,0.323,0.156,0.479,0,0,1,0
4e59e110-963a-4fdd-abed-eb8b799bae5d,"Masaru Takeda",NULL,"北海道日本火腿鬥士 ",PL,2012,28,6,6,0,0,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,0,0,0,0
4f7f0af7-bb20-450f-8853-cd924ca5f5dd,"Yuji Iiyama",NULL,"北海道日本火腿鬥士 ",PL,2012,85,74,68,12,1,0,0,7,2,1,0,1,17,0.177,0.191,0.200,0.391,1,0,4,0
53f26c2c-c7e1-44be-94b0-c8fe3c72a550,"Masayoshi Kato",NULL,"北海道日本火腿鬥士 ",PL,2012,20,36,28,4,0,0,1,6,2,4,0,0,8,0.143,0.250,0.242,0.492,0,0,3,1
7ba55600-3d3d-4f0f-8ef1-20c05f9ba484,"Tomoya Yagi",NULL,"北海道日本火腿鬥士 ",PL,2012,13,1,1,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0
7e0cab72-520e-4b75-9176-a6524b0cf4fb,"Kensuke Tanaka",田中賢介,"北海道日本火腿鬥士 ",PL,2012,114,505,457,137,14,3,3,49,32,35,2,2,36,0.300,0.363,0.350,0.713,13,9,8,3
aab806f1-b1c4-435a-b8a6-252ecfcb81c8,"Kensuke Kondoh",NULL,"北海道日本火腿鬥士 ",PL,2012,20,30,26,5,0,0,0,2,2,2,0,0,5,0.192,0.192,0.241,0.434,0,0,1,1
c12d30be-3c60-4ece-9ae0-33157e37f99a,"Shinya Tsuruoka",NULL,"北海道日本火腿鬥士 ",PL,2012,116,328,289,77,10,1,0,22,25,14,0,1,41,0.266,0.308,0.302,0.610,3,2,23,1
c1c0971a-212e-4440-a2e4-bed81690fbe1,"Brian Wolfe",NULL,"北海道日本火腿鬥士 ",PL,2012,26,5,5,0,0,0,0,0,0,0,0,0,3,0.000,0.000,0.000,0.000,0,0,0,0
cf81cf5b-6e45-480f-8c58-185ae87718ab,"Micah Hoffpauir",NULL,"北海道日本火腿鬥士 ",PL,2012,109,325,296,73,13,0,14,28,37,25,2,3,81,0.247,0.432,0.311,0.743,1,1,0,1
d9b4b79b-bda9-4019-8d18-91c72b706cf0,"Kazuhito Tadano",NULL,"北海道日本火腿鬥士 ",PL,2012,18,5,5,1,0,0,0,1,0,0,0,0,0,0.200,0.200,0.200,0.400,0,0,0,0
e001f86a-ac16-49aa-95f8-74b97a002e14,"Tomohiro Nioka",NULL,"北海道日本火腿鬥士 ",PL,2012,65,94,85,30,1,0,2,4,14,7,1,1,13,0.353,0.435,0.404,0.840,0,0,0,1
ee078aed-4a54-468e-9bba-3d0ae36e46d8,"Takahiro Imanami",NULL,"北海道日本火腿鬥士 ",PL,2012,13,18,18,3,0,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.333,0,0,0,0
f0c5a833-de05-4252-a70e-18e53659c933,"Daikan Yoh",NULL,"北海道日本火腿鬥士 ",PL,2012,144,599,533,153,28,5,7,71,55,37,1,6,123,0.287,0.398,0.337,0.735,17,6,18,5
f117a256-5d59-4be7-b762-d11acf912f8f,"Makoto Kaneko",NULL,"北海道日本火腿鬥士 ",PL,2012,103,311,277,63,18,0,0,21,22,15,0,0,53,0.227,0.292,0.265,0.558,1,4,17,2
fa5153f2-cab7-4a78-a27e-8b32bf54e3c7,"Shota Ohno",NULL,"北海道日本火腿鬥士 ",PL,2012,70,159,140,24,4,0,2,7,11,8,0,2,30,0.171,0.243,0.227,0.470,0,2,9,0
fd58c4b3-77f2-441a-b618-9ad6a0fe27ec,"Haruki Nishikawa",NULL,"北海道日本火腿鬥士 ",PL,2012,71,155,134,32,6,1,2,22,13,14,0,0,34,0.239,0.343,0.311,0.654,7,0,7,0
a6409b4f-35d2-4899-ab80-1c62c34ecdd8,"Ginji Akaminai",NULL,"東北樂天金鷲 ",PL,2012,126,485,432,121,16,2,4,37,45,22,0,4,37,0.280,0.354,0.318,0.672,8,4,23,4
b1e67fe8-2014-4115-ac0c-cd4225db750a,"Teppei Tsuchiya",NULL,"東北樂天金鷲 ",PL,2012,55,131,113,19,1,1,0,10,12,6,0,1,23,0.168,0.195,0.217,0.411,8,1,11,0
