id,name_en,name_zh,team,league,year,g,pa,ab,h,2b,3b,hr,r,rbi,bb,ibb,hbp,so,avg,slg,obp,ops,sb,cs,sh,sf
00e67920-e583-4e4f-9175-a58f1727d890,Yi-Chuan Lin,NULL,興農,CPBL,2012,113,489,450,167,46,3,13,72,92,38,6,0,46,0.371,0.573,0.419,0.993,2,1,0,1
23fca7b3-7833-4e04-930c-20c2579ba2ac,Wei-En Lin,NULL,興農,CPBL,2012,33,36,31,5,1,0,0,4,2,1,0,1,6,0.161,0.194,0.212,0.406,1,2,3,0
36eea54d-16bc-4f99-a89d-9bae0de58d02,Hung-Cheng Lai,NULL,興農,CPBL,2012,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398c883f-b331-493c-aa00-fd034186f321,Chia-Chu Li,NULL,興農,CPBL,2012,22,42,40,8,0,0,0,1,2,1,0,1,11,0.2,0.2,0.238,0.438,2,1,0,0
3dca6e96-9a92-462b-84c6-3b750e33e1d3,Yu-Ying Lin,NULL,興農,CPBL,2012,88,281,252,71,15,2,4,37,25,21,0,4,31,0.282,0.405,0.343,0.748,1,1,1,3
4f5f6e2d-2c07-472d-8ebc-8d9c0b377cb3,Shao-Pai Lan,NULL,興農,CPBL,2012,67,201,172,43,5,1,0,17,19,21,0,4,32,0.25,0.291,0.343,0.634,1,0,3,1
567e1496-6550-4c1d-830a-10a018df37f9,Tzu-Chien Chiang,NULL,興農,CPBL,2012,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6d25a8d6-3b0e-498e-a564-6b0ad42bc396,Jung-Chia Chi,NULL,興農,CPBL,2012,35,78,73,15,4,0,0,5,14,3,0,0,20,0.206,0.26,0.234,0.494,0,0,1,1
6ec8d358-8475-4577-9cdb-73253d920e89,Chih-Wei Chen,NULL,興農,CPBL,2012,63,189,172,51,13,1,1,18,23,15,0,0,23,0.297,0.401,0.351,0.752,1,0,1,1
6ec9a2f0-19f5-48a2-bad5-ad3d0148aa00,Chung-Chun Wu,NULL,興農,CPBL,2012,85,252,214,63,20,0,0,30,20,26,0,8,44,0.294,0.388,0.39,0.778,0,2,3,1
73831453-d4ad-4e32-8f4d-2beb078689be,Chien-Ming Chang,NULL,興農,CPBL,2012,87,331,299,100,20,2,7,37,51,19,1,8,47,0.334,0.485,0.386,0.871,0,1,2,3
74c824dd-014d-42b5-b383-e766705576a7,Ta-Hung Cheng,NULL,興農,CPBL,2012,105,421,360,102,18,2,1,52,37,47,1,3,48,0.283,0.353,0.367,0.72,5,5,7,4
85cfcaa6-9c36-428a-99f3-dba97bdd2552,Chung-Chun Wu,NULL,興農,CPBL,2012,79,290,258,81,14,1,1,43,24,25,0,2,36,0.314,0.388,0.376,0.764,10,7,3,2
98052cde-3a64-4d9e-a336-2a9a8c1f11ea,Yu-Hu Chang,NULL,興農,CPBL,2012,33,79,68,12,1,0,1,9,4,5,0,3,13,0.177,0.235,0.263,0.499,0,0,3,0
9d29e7c9-9ad7-4546-a45e-61e6707adf74,Ko-Wei Fang,NULL,興農,CPBL,2012,47,145,130,29,7,1,2,13,10,12,0,2,26,0.223,0.339,0.299,0.637,1,0,1,0
a34a81f1-5747-4623-b70a-a609b040fe73,Yung-Han Chang,NULL,興農,CPBL,2012,26,49,46,9,2,1,0,4,3,2,0,1,16,0.196,0.283,0.245,0.528,0,0,0,0
bf67bffa-6b0d-4763-82fd-00becbbc1256,Po-Cheng Chen,NULL,興農,CPBL,2012,54,109,99,26,2,0,0,9,9,4,0,0,14,0.263,0.283,0.289,0.571,1,0,5,1
d4c78c71-ed59-4f34-991b-e8ac0c655c50,Chao-Hang Cheng,NULL,興農,CPBL,2012,74,267,240,64,13,0,1,29,24,15,0,0,27,0.267,0.333,0.305,0.638,0,1,8,4
d71c7883-c84b-48bb-8a34-d7e2ef933fe6,Yu-Cheng Hsu,NULL,興農,CPBL,2012,27,37,30,8,0,0,1,7,2,3,0,1,10,0.267,0.367,0.353,0.72,2,0,3,0
de80f1ee-bbc3-47dc-b5a2-7a5520d7f85f,Chien-Jung Su,NULL,興農,CPBL,2012,115,475,403,111,11,0,4,55,28,28,0,26,50,0.275,0.333,0.357,0.69,2,4,13,5
e19a1b94-e5cb-4c61-bba7-687c3911a746,Chih-Pei Huang,NULL,興農,CPBL,2012,15,63,59,13,3,1,0,6,6,2,0,1,9,0.22,0.305,0.254,0.559,1,0,0,1
e8c1548f-00a1-4fd7-abdb-b037a33764ca,Kuo-Lung Hsu,NULL,興農,CPBL,2012,44,150,139,44,5,1,2,14,26,6,0,2,22,0.317,0.41,0.347,0.757,0,0,0,3
f690c9ed-e55c-4066-aafd-3172c066a620,Tsung-Nan Lin,NULL,興農,CPBL,2012,69,204,170,40,4,1,0,13,9,20,0,4,30,0.235,0.271,0.33,0.601,4,3,10,0
f6b857d4-2f95-4a24-b2dd-e857701732e1,Fu-Jen Shen,NULL,興農,CPBL,2012,25,69,65,18,1,0,0,9,6,1,0,1,16,0.277,0.292,0.299,0.591,0,0,2,0
f901710d-4fd9-4170-bc73-e4c79aa71a3d,Kai-Lun Chen,NULL,興農,CPBL,2012,65,195,167,38,6,2,0,15,13,16,0,1,36,0.228,0.287,0.299,0.586,1,3,11,0
ff4b3648-b650-4ba2-bf09-7aa3d6eb7239,Hsin-Min Wang,NULL,興農,CPBL,2012,83,223,206,62,13,0,1,19,24,12,1,1,42,0.301,0.379,0.341,0.72,2,0,3,1
03335b89-f32a-4594-9239-0a8d7260e80a,Yen-Wen Kuo,郭嚴文,桃猿,CPBL,2012,112,411,374,112,24,0,15,56,72,30,2,1,36,0.3,0.484,0.351,0.835,4,2,3,3
085157c0-d6af-4dd2-bd51-f36cbef2a182,Yueh-Teng Hsu,NULL,桃猿,CPBL,2012,3,11,10,4,1,0,0,0,0,1,0,0,1,0.4,0.5,0.455,0.955,0,0,0,0
0b8d89b2-6144-492b-ac25-282f502f667b,Hao-Jan Huang,NULL,桃猿,CPBL,2012,77,257,219,63,13,3,1,34,32,27,0,0,48,0.288,0.388,0.36,0.748,2,4,7,4
112ac3d2-ce68-4813-813f-aac448e4186d,Chih-Yao Chan,NULL,桃猿,CPBL,2012,109,482,422,139,21,2,2,67,51,35,0,10,39,0.329,0.403,0.393,0.796,8,4,14,1
2176af67-4615-4fa6-ac8c-eb4c42617895,Chin-Feng Chen,NULL,桃猿,CPBL,2012,62,253,212,46,2,1,9,34,35,33,1,5,54,0.217,0.363,0.332,0.695,3,1,0,3
3098afdf-87c2-4437-8465-7090f0a540ca,Hao-Chu Tseng,NULL,桃猿,CPBL,2012,44,108,95,25,9,1,0,10,14,8,0,3,21,0.263,0.379,0.333,0.712,0,1,0,2
348d7577-087a-4d63-ba40-83b38c44d75c,Hung-Yu Lin,林泓育,桃猿,CPBL,2012,64,263,234,69,18,0,6,28,51,16,1,9,35,0.295,0.449,0.359,0.808,0,0,1,3
414bac5d-e2a4-40b6-b552-d0a0d1c8430e,Chih-Ping Lin,林智平,桃猿,CPBL,2012,102,421,349,97,10,1,1,60,35,40,0,7,48,0.278,0.321,0.36,0.681,12,4,21,4
4aee3268-13e9-4af7-b774-1c47cd8f2284,Chih-Wei Shih,NULL,桃猿,CPBL,2012,85,269,244,71,10,0,1,34,29,15,0,6,30,0.291,0.344,0.346,0.69,1,0,3,1
4c7584d6-d535-48d7-8e27-5ece3dd6b477,Yung-Wei Kuo,郭修維,桃猿,CPBL,2012,60,187,162,32,6,1,0,19,13,15,0,4,18,0.198,0.247,0.282,0.529,3,2,6,0
5d2ee841-a385-4ad8-a746-2078bfe26bca,Chung-Chen Huang,NULL,桃猿,CPBL,2012,19,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62d4776e-935e-4eea-bba4-7b2ab6d89322,Kuan-Jen Chen,NULL,桃猿,CPBL,2012,82,334,298,110,19,2,2,48,46,23,0,11,16,0.369,0.466,0.431,0.898,1,0,0,2
662208cb-3f3b-4787-916d-b28c0098e666,Chen-Yu Hung,NULL,桃猿,CPBL,2012,19,53,49,10,2,0,1,4,6,3,0,1,8,0.204,0.306,0.264,0.57,0,0,0,0
73733f97-3fef-4414-b924-108a0f8d37e7,Ngayaw Ake,林智勝,桃猿,CPBL,2012,99,429,363,115,21,1,24,87,82,54,3,8,83,0.317,0.579,0.413,0.991,10,4,0,4
980d4e31-8ce9-453e-badb-0b3f396eed66,Cheng-I Lin,NULL,桃猿,CPBL,2012,21,39,36,9,0,0,0,6,6,2,0,0,11,0.25,0.25,0.282,0.532,0,0,0,1
a26d39e7-9472-4d0e-b03d-d100986b7165,Cheng-Yu Chung,NULL,桃猿,CPBL,2012,115,485,441,134,30,7,9,80,72,30,0,4,79,0.304,0.465,0.349,0.814,2,3,4,6
b316899d-b0b4-4a61-8b5d-91769ce9996d,Ko-Yao Weng,NULL,桃猿,CPBL,2012,3,9,7,1,1,0,0,2,1,2,0,0,2,0.143,0.286,0.333,0.619,1,0,0,0
bc6c9ec9-5f97-4358-81e7-27ee2f209f51,Hsuan-Jen Hsieh,NULL,桃猿,CPBL,2012,45,118,104,30,8,1,1,17,12,9,0,2,15,0.289,0.414,0.357,0.77,5,1,3,0
cca28090-b5a5-4266-b90d-b268cf316920,Chien-Wei Tsai,NULL,桃猿,CPBL,2012,39,97,82,15,3,1,0,4,10,7,0,5,26,0.183,0.244,0.287,0.531,2,0,3,0
d9d301d3-d0fa-4f46-b02d-860097a3ccd9,Te-Lung Yu,余德龍,桃猿,CPBL,2012,81,113,102,25,2,0,1,20,17,5,0,2,20,0.245,0.294,0.291,0.585,6,1,3,1
e07956d8-a47a-47ec-a166-3d019595b48e,Yu-Kai Huang,NULL,桃猿,CPBL,2012,1,4,4,1,1,0,0,1,1,0,0,0,2,0.25,0.5,0.25,0.75,0,0,0,0
e1693b6a-a1a9-4b91-b2c1-c105d9f740a7,Yen-Feng Chen,NULL,桃猿,CPBL,2012,35,77,68,13,2,1,0,7,4,5,0,0,16,0.191,0.25,0.247,0.497,2,1,4,0
f0abd29d-4b90-4428-bf55-ca25ddec0ebf,Chia-Hao Liu,NULL,桃猿,CPBL,2012,46,94,87,18,5,0,1,12,8,6,0,0,20,0.207,0.299,0.258,0.557,0,0,1,0
